monthly_income,debt_monthly,loan_amount,years_in_business,duration_months,sector,debt_to_income,loan_to_income,defaulted
626372.0,110883.0,1052462.0,0.6,36,1,0.177,1.6803,0
401601.0,16653.0,460524.0,2.0,18,1,0.0415,1.1467,0
696193.0,192287.0,416703.0,4.8,18,1,0.2762,0.5985,0
800000.0,75403.0,1092614.0,2.5,48,2,0.0943,1.3658,0
375530.0,154660.0,628976.0,6.7,36,0,0.4118,1.6749,0
375534.0,193663.0,229673.0,3.0,48,1,0.5157,0.6116,0
800000.0,507383.0,2131516.0,3.5,60,1,0.6342,2.6644,0
757065.0,205696.0,562196.0,3.3,24,4,0.2717,0.7426,0
318497.0,51328.0,1789314.0,1.8,18,1,0.1612,5.618,0
646800.0,195309.0,1570746.0,3.5,36,2,0.302,2.4285,0
319850.0,79155.0,400070.0,0.5,60,0,0.2475,1.2508,0
319333.0,88572.0,1355816.0,5.9,36,0,0.2774,4.2458,0
524066.0,247477.0,493429.0,4.5,48,3,0.4722,0.9415,0
115926.0,25392.0,237989.0,0.8,12,2,0.219,2.0529,0
132264.0,33239.0,565373.0,4.4,36,1,0.2513,4.2746,0
298462.0,40143.0,925956.0,0.5,48,1,0.1345,3.1024,0
217732.0,56074.0,552582.0,0.7,6,0,0.2575,2.5379,0
551266.0,317436.0,606689.0,0.5,12,2,0.5758,1.1005,0
234306.0,40954.0,1448646.0,4.5,12,0,0.1748,6.1827,0
164619.0,72505.0,777545.0,4.2,18,3,0.4404,4.7233,0
800000.0,191975.0,439776.0,5.0,24,1,0.24,0.5497,0
377738.0,168377.0,1111497.0,0.5,18,0,0.4458,2.9425,1
463828.0,193948.0,821268.0,2.1,6,3,0.4181,1.7706,0
163191.0,20363.0,160659.0,3.7,48,4,0.1248,0.9845,0
302227.0,124992.0,943179.0,0.5,12,0,0.4136,3.1208,0
478134.0,40891.0,922735.0,3.1,12,3,0.0855,1.9299,0
197660.0,20237.0,738276.0,0.5,60,3,0.1024,3.7351,0
575497.0,131504.0,1245466.0,0.6,36,2,0.2285,2.1642,0
290556.0,158836.0,487265.0,1.9,24,4,0.5467,1.677,0
